84,125,152,190,152,39,23,8,22,162,137,9,247,119,73,123,213,119,89,114,40,67,217,42,249,134,13,56,152,123,1,50
228,117,157,178,216,39,23,152,146,176,161,25,87,247,73,91,149,125,105,118,48,67,218,0,253,128,69,124,144,115,135,114
228,177,153,160,218,103,3,200,18,177,33,25,86,87,73,88,149,93,0,112,51,86,217,22,93,134,21,124,144,83,134,178
164,245,25,75,210,71,7,249,18,114,101,24,86,119,8,49,21,222,2,106,115,54,121,55,125,134,5,100,112,179,166,178
164,244,49,67,211,103,71,248,80,115,109,24,82,117,8,53,25,220,2,42,113,246,121,63,125,6,69,100,235,251,230,242
164,213,28,79,215,109,71,188,83,83,109,24,82,117,8,53,89,90,2,106,115,114,121,55,101,0,69,44,122,251,214,178
164,149,12,94,221,97,71,252,81,83,237,16,114,113,42,53,89,202,2,106,107,98,122,63,101,144,68,45,91,219,246,186
180,5,94,94,215,66,103,233,17,82,101,18,113,119,41,63,120,218,2,234,106,230,58,47,103,130,68,1,113,251,228,186
180,76,95,86,194,66,103,233,144,210,101,18,112,87,41,123,121,248,2,234,97,247,58,110,115,130,69,1,33,251,228,242
180,76,127,82,195,226,118,228,244,210,103,19,82,119,41,89,57,232,2,234,104,247,60,110,115,130,69,1,225,251,100,226
180,68,119,115,195,106,118,232,112,242,99,19,65,127,41,89,51,204,2,98,36,244,12,46,119,2,69,5,225,121,100,194
180,4,127,51,194,106,118,234,113,54,107,179,71,123,41,91,51,199,2,34,52,244,13,46,119,194,65,7,229,249,228,226
180,4,125,55,194,106,103,169,57,54,99,179,87,103,13,91,51,199,1,38,112,244,13,14,116,130,101,7,245,249,196,226
180,68,125,179,162,106,39,143,24,22,113,179,215,118,13,91,179,75,5,35,112,244,77,106,164,130,117,5,244,121,133,227
164,68,93,179,162,106,7,142,24,22,41,177,214,115,9,91,19,67,4,39,112,228,73,34,224,131,119,21,208,123,133,227
172,68,157,179,164,106,166,142,184,18,43,17,214,117,9,91,145,82,72,110,112,229,73,34,225,131,119,21,192,123,133,34
204,69,158,179,169,106,182,142,168,58,47,48,214,119,9,91,129,83,72,114,48,229,9,98,229,131,127,21,128,123,141,34
196,69,158,178,173,108,182,140,168,26,171,16,212,115,105,91,129,83,104,98,112,101,27,34,225,130,79,20,128,123,137,34
236,69,148,242,141,44,135,140,152,18,163,24,215,114,105,235,193,82,104,122,120,103,218,32,241,131,95,28,136,123,129,0
212,68,156,178,141,44,7,132,154,19,131,24,215,243,73,75,193,86,104,90,120,69,218,34,225,227,94,60,136,123,129,2
220,68,152,178,141,44,70,132,210,23,131,24,215,243,73,202,193,70,104,26,58,69,218,34,193,231,222,61,128,123,129,34
220,108,152,178,156,172,70,134,194,23,139,24,199,226,73,202,193,194,104,26,58,71,202,34,249,231,151,125,128,91,141,34
220,173,28,178,153,232,70,164,224,23,139,24,215,99,72,83,129,199,72,114,58,75,218,38,249,129,103,125,128,91,141,34
204,239,28,182,201,76,103,164,240,22,169,25,215,99,74,19,33,194,72,98,122,71,218,35,245,129,101,125,32,123,142,2
204,111,156,183,205,108,103,132,168,182,43,25,230,99,75,27,33,98,72,98,96,100,218,42,229,129,71,57,0,123,15,170
204,109,148,163,137,105,103,128,168,166,171,24,214,115,75,155,177,100,72,114,96,69,216,42,165,129,71,61,128,123,199,226
220,69,28,163,129,107,39,136,168,190,175,24,214,115,75,139,145,84,200,114,112,101,201,34,225,129,103,55,192,123,205,162
204,68,28,163,141,111,71,140,8,62,169,24,214,118,75,11,145,86,200,114,120,100,249,50,225,193,103,53,208,123,205,34
236,69,29,171,141,109,71,140,80,127,173,25,215,117,75,91,153,194,200,98,122,102,121,50,229,193,69,61,208,123,204,98
236,69,24,162,141,108,71,140,80,86,173,25,215,113,73,91,217,210,72,98,123,102,219,34,229,129,68,61,152,123,220,50
244,93,25,178,140,108,71,140,208,22,173,24,214,113,73,91,201,194,72,122,123,103,122,34,225,129,198,60,128,123,212,34
244,93,137,242,132,108,71,133,144,22,169,28,210,115,105,91,201,194,8,122,123,103,122,34,225,129,198,60,136,123,212,162
244,85,11,178,132,100,71,132,144,18,163,94,211,114,105,11,217,194,8,250,123,103,88,34,161,128,206,60,137,123,240,32
212,76,11,178,132,108,71,132,144,22,163,95,215,99,105,75,249,195,12,254,105,101,24,34,177,129,238,60,136,123,129,2
220,76,29,178,132,108,71,132,144,62,163,27,215,99,73,91,33,195,12,250,105,103,152,34,241,195,116,60,168,123,132,2
252,76,157,242,134,108,71,148,144,62,163,26,87,99,73,91,33,211,12,114,57,103,88,34,241,195,116,52,160,123,132,34
252,76,221,242,134,104,71,144,80,55,171,26,87,99,73,219,49,210,12,122,57,102,216,34,241,195,117,61,160,251,196,34
252,68,157,243,132,104,71,148,112,55,45,24,215,115,73,27,17,82,0,58,56,100,216,34,225,195,119,61,224,115,207,34
220,4,157,178,132,104,71,156,240,51,133,24,215,115,73,27,17,210,72,58,59,103,88,34,225,195,116,116,184,83,134,34
220,133,141,243,137,109,71,157,176,51,173,24,215,115,73,155,1,194,72,154,123,69,90,34,233,195,244,117,162,211,138,32
252,197,156,242,137,108,71,149,176,23,167,24,95,115,74,159,33,210,200,154,122,69,91,34,235,195,116,117,170,219,136,34
252,197,156,82,139,124,87,133,216,31,167,24,223,115,75,251,33,210,232,122,114,101,123,34,235,203,84,125,226,91,205,34
253,204,156,114,141,124,87,132,216,23,39,24,215,97,75,123,129,66,232,90,118,101,250,34,251,203,84,125,194,91,204,42
236,76,184,114,141,124,87,132,210,23,165,24,211,241,75,123,193,66,232,90,58,103,250,34,235,203,84,125,194,89,204,98
236,236,185,242,133,124,87,132,210,119,165,24,211,113,75,123,201,66,200,90,58,103,250,34,235,217,69,125,210,123,212,98
236,236,45,242,133,124,71,136,209,119,165,24,211,117,91,63,201,194,200,122,59,103,122,178,111,219,197,125,194,91,212,98
